product_id,product_name,category,subcategory,brand,list_price,standard_cost,launch_date,is_active
101,PulseFit Tops Green 1,Apparel,Tops,FlexPro,197.47,136.97,2022-10-20,N
102,FlexPro Tops Grey 2,Apparel,Tops,VitaMove,40.72,29.01,2023-05-28,Y
103,PeakForm Tops Red 3,Apparel,Tops,CoreFlex,168.29,77.65,2024-10-19,Y
104,AeroRun Tops Orange 4,Apparel,Tops,CoreFlex,157.93,90.30,2023-04-14,N
105,VitaMove Tops Orange 5,Apparel,Tops,Zava Active,222.56,146.96,2024-06-23,Y
106,AeroRun Tops Orange 6,Apparel,Tops,PeakForm,225.43,120.25,2023-06-10,Y
107,AeroRun Tops Grey 7,Apparel,Tops,VitaMove,297.11,141.89,2023-04-02,Y
108,VitaMove Tops Grey 8,Apparel,Tops,UrbanMove,NULL,110.93,2024-02-19,Y
109,StrideLab Tops Red 9,Apparel,Tops,PeakForm,142.30,69.54,2021-05-09,Y
110,UrbanMove Tops Green 10,Apparel,Tops,Zava Active,119.24,58.08,2024-07-30,Y
111,VitaMove Bottoms Grey 1,APPAREL,Bottoms,UrbanMove,60.01,23.01,2022-05-06,Y
112,NorthTrail Bottoms Purple 2,Apparel,Bottoms,Zava Active,229.83,90.87,2023-03-09,Y
113,PulseFit Bottoms Teal 3,APPAREL,Bottoms,UrbanMove,201.67,87.25,2024-11-12,Y
114,VitaMove Bottoms Black 4,Apparel,Bottoms,NorthTrail,31.28,14.11,2022-02-01,Y
115,AeroRun Bottoms Orange 5,APPAREL,Bottoms,StrideLab,154.24,88.49,2022-12-08,Y
116,Zava Active Bottoms Green 6,Apparel,Bottoms,UrbanMove,293.05,186.24,2023-02-28,Y
117,UrbanMove Bottoms White 7,Apparel,Bottoms,FlexPro,254.19,131.57,2023-03-03,Y
118,AeroRun Bottoms Black 8,Apparel,Bottoms,FlexPro,23.16,13.56,2024-01-14,Y
119,PulseFit Bottoms Blue 9,APPAREL,Bottoms,Zava Active,21.55,11.52,2023-10-29,Y
120,StrideLab Bottoms White 10,Apparel,Bottoms,NorthTrail,86.13,NaN,2022-08-13,N
121,PeakForm Outerwear Red 1,Apparel,Outerwear,PeakForm,49.87,26.96,2023-07-30,Y
122,UrbanMove Outerwear Teal 2,Apparel,Outerwear,AeroRun,197.03,128.29,2021-07-30,Y
123,PulseFit Outerwear Red 3,Apparel,Outerwear,UrbanMove,152.21,82.77,2021-10-03,Y
124,Zava Active Outerwear Black 4,Apparel,Outerwear,StrideLab,235.44,150.49,2024-05-28,Y
125,PulseFit Outerwear Navy 5,Apparel,Outerwear,AeroRun,99.20,40.69,2022-11-15,Y
126,PulseFit Outerwear Black 6,Apparel,Outerwear,PulseFit,119.50,82.53,2022-11-30,Y
127,UrbanMove Outerwear Orange 7,Apparel,Outerwear,NorthTrail,68.96,44.87,2024-02-23,Y
128,StrideLab Outerwear Black 8,APPAREL,Outerwear,StrideLab,255.86,168.41,2022-12-22,Y
129,VitaMove Outerwear Purple 9,APPAREL,Outerwear,PulseFit,233.18,113.45,2024-04-05,Y
130,PeakForm Outerwear Green 10,Apparel,Outerwear,StrideLab,261.71,180.18,2023-07-29,Y
131,Zava Active Compression Purple 1,Apparel,Compression,NorthTrail,55.06,37.23,2023-08-18,Y
132,PulseFit Compression Red 2,Apparel,Compression,Zava Active,278.77,180.69,2021-04-24,Y
133,FlexPro Compression Grey 3,APPAREL,Compression,PeakForm,179.33,100.66,2024-08-26,Y
134,PeakForm Compression Teal 4,Apparel,Compression,PulseFit,271.29,154.73,2023-05-27,Y
135,CoreFlex Compression White 5,Apparel,Compression,AeroRun,290.26,160.48,2023-07-06,N
136,StrideLab Compression Grey 6,APPAREL,Compression,PeakForm,188.05,79.12,2022-06-23,Y
137,NorthTrail Compression Grey 7,Apparel,Compression,VitaMove,137.65,74.02,2023-02-22,N
138,PulseFit Compression Navy 8,Apparel,Compression,FlexPro,124.36,67.62,2022-04-22,Y
139,PeakForm Compression Black 9,APPAREL,Compression,NorthTrail,274.82,182.66,2025-01-15,Y
140,CoreFlex Compression Orange 10,Apparel,Compression,FlexPro,196.07,80.20,2021-02-08,Y
141,StrideLab Athleisure Red 1,Apparel,Athleisure,PeakForm,204.64,88.13,2021-01-07,Y
142,PeakForm Athleisure Navy 2,Apparel,Athleisure,StrideLab,125.56,52.43,2024-07-05,Y
143,VitaMove Athleisure Red 3,Apparel,Athleisure,VitaMove,269.49,131.29,2023-03-07,N
144,StrideLab Athleisure Blue 4,Apparel,Athleisure,PeakForm,267.72,173.44,2024-08-20,Y
145,CoreFlex Athleisure Green 5,Apparel,Athleisure,FlexPro,85.30,60.26,2021-10-01,Y
146,PeakForm Athleisure Blue 6,Apparel,Athleisure,UrbanMove,44.01,27.39,2021-07-25,Y
147,PeakForm Athleisure Navy 7,Apparel,Athleisure,PeakForm,143.52,90.07,2023-07-19,Y
148,UrbanMove Athleisure Red 8,Apparel,Athleisure,VitaMove,120.38,52.18,2023-08-06,Y
149,VitaMove Athleisure Black 9,Apparel,Athleisure,UrbanMove,245.14,142.93,2022-07-08,Y
150,PulseFit Athleisure Teal 10,APPAREL,Athleisure,CoreFlex,265.34,135.36,2022-01-24,Y
151,StrideLab Training Tees Green 1,APPAREL,Training Tees,AeroRun,238.67,106.12,2021-03-26,Y
152,PeakForm Training Tees Red 2,Apparel,Training Tees,NorthTrail,87.92,61.88,2021-04-22,Y
153,CoreFlex Training Tees Black 3,Apparel,Training Tees,NorthTrail,182.16,74.68,2022-09-04,Y
154,AeroRun Training Tees Teal 4,Apparel,Training Tees,CoreFlex,63.69,25.14,2021-12-11,Y
155,NorthTrail Training Tees Blue 5,Apparel,Training Tees,FlexPro,217.19,93.08,2021-12-31,Y
156,PeakForm Training Tees Purple 6,Apparel,Training Tees,AeroRun,256.73,163.84,2021-02-27,Y
157,VitaMove Training Tees Purple 7,Apparel,Training Tees,Zava Active,154.86,100.39,2023-10-12,Y
158,PeakForm Training Tees Red 8,Apparel,Training Tees,CoreFlex,193.67,102.85,2021-06-10,Y
159,Zava Active Training Tees Red 9,Apparel,Training Tees,NorthTrail,213.83,107.19,2021-01-23,Y
160,VitaMove Training Tees White 10,Apparel,Training Tees,StrideLab,177.68,127.51,2022-05-14,Y
161,FlexPro Sports Bras Blue 1,Apparel,Sports Bras,PeakForm,30.26,15.45,2021-01-29,Y
162,FlexPro Sports Bras Teal 2,APPAREL,Sports Bras,CoreFlex,298.43,130.15,2025-02-09,Y
163,UrbanMove Sports Bras Navy 3,Apparel,Sports Bras,UrbanMove,259.86,180.90,2024-04-25,Y
164,UrbanMove Sports Bras Red 4,Apparel,Sports Bras,UrbanMove,18.14,12.42,2024-03-18,N
165,CoreFlex Sports Bras Teal 5,Apparel,Sports Bras,Zava Active,147.85,100.70,2024-09-30,N
166,PeakForm Sports Bras Black 6,Apparel,Sports Bras,UrbanMove,61.58,36.22,2024-10-31,Y
167,PeakForm Sports Bras Grey 7,APPAREL,Sports Bras,NorthTrail,283.02,135.32,2022-11-12,Y
168,StrideLab Sports Bras Orange 8,Apparel,Sports Bras,VitaMove,274.01,154.44,2021-10-16,N
169,Zava Active Sports Bras Red 9,Apparel,Sports Bras,AeroRun,167.64,99.84,2021-09-05,Y
170,StrideLab Sports Bras Green 10,Apparel,Sports Bras,PeakForm,71.26,27.59,2021-01-19,Y
171,NorthTrail Hoodies Blue 1,APPAREL,Hoodies,PulseFit,107.56,47.73,2022-09-28,N
172,FlexPro Hoodies Black 2,APPAREL,Hoodies,PulseFit,41.66,27.49,2023-01-04,Y
173,UrbanMove Hoodies Teal 3,Apparel,Hoodies,FlexPro,222.13,106.92,2022-03-05,Y
174,Zava Active Hoodies Grey 4,Apparel,Hoodies,StrideLab,92.09,49.22,2022-10-05,Y
175,UrbanMove Hoodies Blue 5,Apparel,Hoodies,PulseFit,30.25,18.79,2023-09-01,Y
176,PulseFit Hoodies Blue 6,Apparel,Hoodies,CoreFlex,185.96,100.57,2023-02-05,N
177,UrbanMove Hoodies Grey 7,Apparel,Hoodies,PeakForm,52.33,35.44,2021-10-02,Y
178,PulseFit Hoodies Red 8,Apparel,Hoodies,FlexPro,217.21,141.86,2022-01-16,Y
179,VitaMove Hoodies Black 9,Apparel,Hoodies,PulseFit,244.33,114.86,2023-04-25,Y
180,AeroRun Hoodies Navy 10,Apparel,Hoodies,VitaMove,172.31,68.11,2021-08-07,Y
181,NorthTrail Jackets Navy 1,Apparel,Jackets,FlexPro,159.73,98.03,2022-05-13,N
182,CoreFlex Jackets White 2,Apparel,Jackets,FlexPro,292.25,189.30,2023-10-13,N
183,VitaMove Jackets Grey 3,Apparel,Jackets,Zava Active,263.56,153.29,2021-07-17,Y
184,StrideLab Jackets Blue 4,Apparel,Jackets,PulseFit,82.56,57.25,2022-05-17,Y
185,PulseFit Jackets Purple 5,Apparel,Jackets,UrbanMove,78.35,40.18,2023-11-24,Y
186,StrideLab Jackets Red 6,Apparel,Jackets,UrbanMove,203.32,143.23,2024-06-09,Y
187,NorthTrail Jackets Navy 7,Apparel,Jackets,PeakForm,74.19,47.38,2024-08-24,N
188,FlexPro Jackets Grey 8,Apparel,Jackets,NorthTrail,39.11,19.07,2025-02-04,Y
189,PeakForm Jackets White 9,Apparel,Jackets,StrideLab,102.69,72.72,2024-03-10,Y
190,CoreFlex Jackets Blue 10,Apparel,Jackets,AeroRun,165.07,100.85,2024-10-13,Y
191,NorthTrail Shorts Purple 1,Apparel,Shorts,Zava Active,134.98,58.76,2024-02-16,Y
192,UrbanMove Shorts Blue 2,Apparel,Shorts,PeakForm,204.84,96.42,2021-01-08,Y
193,AeroRun Shorts Red 3,APPAREL,Shorts,AeroRun,135.75,84.80,2023-04-09,N
